vendor,cieTradeCount,priorCount,currentCount,pct,priorMonth,currentMonth
Waste Connections,1279,1621,2190,135.1,Dec 2025,Jan 2026
Hamilton Alliance,104,111,164,147.7,Dec 2025,Jan 2026
VLS Environmental Solutions,0,110,2,1.8,Dec 2025,Jan 2026
Standard Waste Services,114,109,173,158.7,Dec 2025,Jan 2026
Burrtec Waste Industries,62,96,21,21.9,Dec 2025,Jan 2026
Active Waste Solutions,67,72,94,130.6,Dec 2025,Jan 2026
Win Waste Innovations,53,59,103,174.6,Dec 2025,Jan 2026
Navajo Sanitation,40,42,0,0.0,Dec 2025,Jan 2026
Recology,63,39,51,130.8,Dec 2025,Jan 2026
Delta Waste Solutions,26,39,55,141.0,Dec 2025,Jan 2026
F and L Construction Inc,25,31,0,0.0,Dec 2025,Jan 2026
E.L. Harvey & Sons,0,30,6,20.0,Dec 2025,Jan 2026
Nexus Disposal,20,25,51,204.0,Dec 2025,Jan 2026
Apex Waste,17,25,166,664.0,Dec 2025,Jan 2026
"RDT, Inc.",0,21,1,4.8,Dec 2025,Jan 2026
Metalpro,18,21,36,171.4,Dec 2025,Jan 2026
Murreys Disposal,0,19,48,252.6,Dec 2025,Jan 2026
Solid Waste Authority,2,19,25,131.6,Dec 2025,Jan 2026
Moore Coal,14,18,0,0.0,Dec 2025,Jan 2026
E.J. Harrison & Sons,0,17,1,5.9,Dec 2025,Jan 2026
Liberty Disposal,13,15,19,126.7,Dec 2025,Jan 2026
City Waste,6,15,23,153.3,Dec 2025,Jan 2026
ABC Waste Of Savannah,17,14,19,135.7,Dec 2025,Jan 2026
Lex Serv,0,13,1,7.7,Dec 2025,Jan 2026
Complete Solutions & Sourcing,0,13,28,215.4,Dec 2025,Jan 2026
JLT Trucking,12,13,17,130.8,Dec 2025,Jan 2026
Amber Disposal,0,12,0,0.0,Dec 2025,Jan 2026
Fogle's,0,12,1,8.3,Dec 2025,Jan 2026
Zarc Recycling,21,11,16,145.5,Dec 2025,Jan 2026
Ameriwaste,5,11,0,0.0,Dec 2025,Jan 2026
Western Elite,7,10,14,140.0,Dec 2025,Jan 2026
UDP TN Hauling,0,10,14,140.0,Dec 2025,Jan 2026
